id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
357,2017-03-10 02:01:16.492933,,,,,,f,,question,108,4,"",""
358,2017-03-10 02:01:35.652348,,,,,,f,,question,115,1,engagement,7
359,2017-03-10 02:01:35.764686,,,,,,f,,question,115,2,difficulty,8
360,2017-03-10 02:01:35.84415,,,,,,f,,question,115,3,"",""
361,2017-03-10 02:01:35.934627,,,,,,f,,question,115,4,"",""
362,2017-03-10 02:01:38.598734,,,,,,f,,question,111,1,engagement,8
363,2017-03-10 02:01:38.696927,,,,,,f,,question,111,2,difficulty,7
364,2017-03-10 02:01:49.409599,,,,,,f,,question,114,1,engagement,10
365,2017-03-10 02:01:49.504585,,,,,,f,,question,114,2,difficulty,3
366,2017-03-10 02:01:49.591346,,,,,,f,,question,114,3,"",""
